Epoch,Loss,Value
0,alpha,0.532879650592804
0,av_div_loss,-1.0014842288796899e-08
0,mean_1,0.011799441650509834
0,mean_2,0.027536485344171524
0,var_1,1.0059897899627686
0,var_2,1.0265487432479858
1,alpha,0.5048872828483582
1,av_div_loss,6.1017795260909224e-09
1,mean_1,0.024349533021450043
1,mean_2,0.04059254378080368
1,var_1,1.0158002376556396
1,var_2,1.0320043563842773
2,alpha,0.5258430242538452
2,av_div_loss,-4.270204190248705e-09
2,mean_1,0.027806511148810387
2,mean_2,0.05122990533709526
2,var_1,1.0183277130126953
2,var_2,1.0364493131637573
3,alpha,0.5194461345672607
3,av_div_loss,-2.933743470379113e-09
3,mean_1,0.047571904957294464
3,mean_2,0.08885210752487183
3,var_1,1.0382663011550903
3,var_2,1.0650748014450073
4,alpha,0.5135632753372192
4,av_div_loss,-7.705964338855509e-12
4,mean_1,0.06042483076453209
4,mean_2,0.10635097324848175
4,var_1,1.0498512983322144
4,var_2,1.0739643573760986
5,alpha,0.4948406517505646
5,av_div_loss,2.939989085515293e-10
5,mean_1,0.06322011351585388
5,mean_2,0.10879150032997131
5,var_1,1.0544098615646362
5,var_2,1.0776561498641968
6,alpha,0.5125658512115479
6,av_div_loss,-9.645628740173606e-10
6,mean_1,0.0733017772436142
6,mean_2,0.11923635005950928
6,var_1,1.0588092803955078
6,var_2,1.0897853374481201
7,alpha,0.5262603759765625
7,av_div_loss,-7.909442878428763e-09
7,mean_1,0.09028267860412598
7,mean_2,0.16447663307189941
7,var_1,1.0765366554260254
7,var_2,1.1115244626998901
8,alpha,0.5043473839759827
8,av_div_loss,-1.577514230355348e-09
8,mean_1,0.11721090972423553
8,mean_2,0.18297693133354187
8,var_1,1.0885915756225586
8,var_2,1.135685920715332
9,alpha,0.5350434184074402
9,av_div_loss,-7.034215432355495e-09
9,mean_1,0.1468326598405838
9,mean_2,0.18795013427734375
9,var_1,1.0961792469024658
9,var_2,1.137547254562378
10,alpha,0.5011446475982666
10,av_div_loss,4.25988311292258e-09
10,mean_1,0.15378925204277039
10,mean_2,0.1876339614391327
10,var_1,1.103021502494812
10,var_2,1.1492722034454346
11,alpha,0.4929286539554596
11,av_div_loss,-3.118735825147212e-10
11,mean_1,0.14719140529632568
11,mean_2,0.18328896164894104
11,var_1,1.0962440967559814
11,var_2,1.1477450132369995
12,alpha,0.5243214964866638
12,av_div_loss,-2.8097935089732573e-09
12,mean_1,0.15557457506656647
12,mean_2,0.18497617542743683
12,var_1,1.0995937585830688
12,var_2,1.1493990421295166
13,alpha,0.4999767243862152
13,av_div_loss,-1.6105542455235877e-09
13,mean_1,0.18708766996860504
13,mean_2,0.21117019653320312
13,var_1,1.1250120401382446
13,var_2,1.1534957885742188
14,alpha,0.5122652649879456
14,av_div_loss,-1.3604730675353949e-09
14,mean_1,0.19105063378810883
14,mean_2,0.21386171877384186
14,var_1,1.1395562887191772
14,var_2,1.1527361869812012
15,alpha,0.5144861936569214
15,av_div_loss,-2.343492511158729e-09
15,mean_1,0.19720450043678284
15,mean_2,0.21359361708164215
15,var_1,1.1587235927581787
15,var_2,1.155462384223938
16,alpha,0.5401244163513184
16,av_div_loss,-1.1116910059172369e-08
16,mean_1,0.22042454779148102
16,mean_2,0.2234107255935669
16,var_1,1.174547791481018
16,var_2,1.1707247495651245
17,alpha,0.5232595801353455
17,av_div_loss,-1.7185614042958264e-10
17,mean_1,0.25884759426116943
17,mean_2,0.24360918998718262
17,var_1,1.1997933387756348
17,var_2,1.1757200956344604
18,alpha,0.5076751112937927
18,av_div_loss,1.4844095952426528e-09
18,mean_1,0.2571163475513458
18,mean_2,0.24730296432971954
18,var_1,1.2028732299804688
18,var_2,1.1772974729537964
19,alpha,0.5487707853317261
19,av_div_loss,-1.7451061040674176e-08
19,mean_1,0.29320207238197327
19,mean_2,0.27365007996559143
19,var_1,1.2283515930175781
19,var_2,1.190375566482544
