Epoch,Loss,Value
0,alpha,0.5
0,av_div_loss,6.124052545457281e-13
0,mean_1,1.9821993646473857e-06
0,mean_2,-1.296123741667543e-06
0,var_1,0.9999971985816956
0,var_2,0.9999943375587463
1,alpha,0.5
1,av_div_loss,-3.4994584812396423e-13
1,mean_1,-5.453798621601891e-07
1,mean_2,-3.5184436910640216e-06
1,var_1,0.9999891519546509
1,var_2,0.9999949336051941
2,alpha,0.5
2,av_div_loss,1.7497292406198212e-13
2,mean_1,-5.788891030533705e-06
2,mean_2,-3.03034039461636e-06
2,var_1,0.9999863505363464
2,var_2,0.9999949932098389
3,alpha,0.5
3,av_div_loss,4.665944822353219e-13
3,mean_1,-5.882015557290288e-06
3,mean_2,-2.1167079466977157e-06
3,var_1,0.9999890327453613
3,var_2,0.9999952912330627
4,alpha,0.5
4,av_div_loss,-2.041350893660851e-13
4,mean_1,-5.356375368137378e-06
4,mean_2,-2.1037342321506003e-06
4,var_1,0.9999967217445374
4,var_2,1.0
5,alpha,0.5
5,av_div_loss,4.082701787321702e-13
5,mean_1,-5.2105087888776325e-06
5,mean_2,5.486090230988339e-07
5,var_1,0.999992311000824
5,var_2,1.0
6,alpha,0.5
6,av_div_loss,-3.2078370992491556e-13
6,mean_1,-7.018124506430468e-06
6,mean_2,-4.3539540683923406e-07
6,var_1,0.9999903440475464
6,var_2,0.9999983906745911
7,alpha,0.5
7,av_div_loss,-2.332972411176609e-13
7,mean_1,-9.803349712456111e-06
7,mean_2,-4.601941228088435e-08
7,var_1,0.9999883770942688
7,var_2,0.9999936819076538
8,alpha,0.5
8,av_div_loss,8.748646338624377e-13
8,mean_1,-8.720960067876149e-06
8,mean_2,-1.5929991832308588e-06
8,var_1,0.9999872446060181
8,var_2,0.9999964833259583
9,alpha,0.5
9,av_div_loss,3.2078370992491556e-13
9,mean_1,-1.087168220692547e-05
9,mean_2,-1.9307535694679245e-06
9,var_1,0.9999892711639404
9,var_2,1.000000238418579
10,alpha,0.5
10,av_div_loss,-1.6622428260226751e-12
10,mean_1,-9.44050134421559e-06
10,mean_2,1.1286496146567515e-06
10,var_1,0.9999910593032837
10,var_2,0.9999993443489075
11,alpha,0.5
11,av_div_loss,-1.1664862055883046e-13
11,mean_1,-1.0045180715678725e-05
11,mean_2,2.4605549242551206e-06
11,var_1,1.0000035762786865
11,var_2,1.000001072883606
12,alpha,0.5
12,av_div_loss,1.1664862055883046e-13
12,mean_1,-1.1259257007623091e-05
12,mean_2,4.278007509128656e-06
12,var_1,0.9999998807907104
12,var_2,1.0000028610229492
13,alpha,0.5
13,av_div_loss,5.249188128435278e-13
13,mean_1,-1.2599081856023986e-05
13,mean_2,3.948531684727641e-06
13,var_1,1.0000020265579224
13,var_2,1.0000014305114746
14,alpha,0.5
14,av_div_loss,-3.2078370992491556e-13
14,mean_1,-1.3490108358382713e-05
14,mean_2,2.580442014732398e-06
14,var_1,0.9999987483024597
14,var_2,1.0000026226043701
15,alpha,0.5
15,av_div_loss,-2.9162155139707616e-14
15,mean_1,-1.4401405678654555e-05
15,mean_2,3.1016361390356906e-06
15,var_1,0.9999936819076538
15,var_2,1.000006079673767
16,alpha,0.5
16,av_div_loss,5.832430892416252e-13
16,mean_1,-1.3349705113796517e-05
16,mean_2,1.3890620493839378e-06
16,var_1,0.9999918937683105
16,var_2,1.000004768371582
17,alpha,0.5
17,av_div_loss,-7.582160268561344e-13
17,mean_1,-1.2628403055714443e-05
17,mean_2,2.266438741571619e-06
17,var_1,0.9999915361404419
17,var_2,1.0000025033950806
18,alpha,0.5
18,av_div_loss,1.458107723104063e-13
18,mean_1,-1.2518257790361531e-05
18,mean_2,6.663769909209805e-07
18,var_1,0.9999828338623047
18,var_2,1.0000051259994507
19,alpha,0.5
19,av_div_loss,1.7497292406198212e-13
19,mean_1,-1.2202408470329829e-05
19,mean_2,1.500330427006702e-06
19,var_1,0.9999811053276062
19,var_2,1.000001072883606
